,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Red,White,Clusters PCA,quality,group_quality
0,0.2644628099173554,0.12666666666666668,0.21686746987951808,0.308282208588957,0.05980066445182724,0.1527777777777778,0.3778801843317972,0.26778484673221237,0.2170542635658914,0.12921348314606743,0.11594202898550734,0.0,1.0,1,6,2
1,0.20661157024793386,0.14666666666666664,0.20481927710843376,0.015337423312883436,0.0664451827242525,0.04513888888888889,0.2903225806451613,0.13283208020050252,0.44961240310077505,0.15168539325842698,0.21739130434782608,0.0,1.0,1,6,2
2,0.3553719008264462,0.13333333333333333,0.24096385542168677,0.09662576687116566,0.0681063122923588,0.10069444444444445,0.20967741935483872,0.15403894351262667,0.4186046511627905,0.12359550561797752,0.30434782608695643,0.0,1.0,0,6,2
3,0.2809917355371901,0.10000000000000002,0.1927710843373494,0.12116564417177914,0.0813953488372093,0.1597222222222222,0.4147465437788018,0.1636784268363216,0.36434108527131776,0.10112359550561799,0.27536231884057977,0.0,1.0,1,6,2
4,0.2809917355371901,0.10000000000000002,0.1927710843373494,0.12116564417177914,0.0813953488372093,0.1597222222222222,0.4147465437788018,0.1636784268363216,0.36434108527131776,0.10112359550561799,0.27536231884057977,0.0,1.0,1,6,2
5,0.3553719008264462,0.13333333333333333,0.24096385542168677,0.09662576687116566,0.0681063122923588,0.10069444444444445,0.20967741935483872,0.15403894351262667,0.4186046511627905,0.12359550561797752,0.30434782608695643,0.0,1.0,0,6,2
6,0.19834710743801653,0.16,0.0963855421686747,0.09815950920245399,0.05980066445182724,0.10069444444444445,0.2995391705069124,0.15018315018314957,0.3565891472868218,0.14044943820224717,0.23188405797101444,0.0,1.0,1,6,2
7,0.2644628099173554,0.12666666666666668,0.21686746987951808,0.308282208588957,0.05980066445182724,0.1527777777777778,0.3778801843317972,0.26778484673221237,0.2170542635658914,0.12921348314606743,0.11594202898550734,0.0,1.0,1,6,2
8,0.20661157024793386,0.14666666666666664,0.20481927710843376,0.015337423312883436,0.0664451827242525,0.04513888888888889,0.2903225806451613,0.13283208020050252,0.44961240310077505,0.15168539325842698,0.21739130434782608,0.0,1.0,1,6,2
9,0.3553719008264462,0.09333333333333334,0.25903614457831325,0.013803680981595092,0.058139534883720936,0.09375,0.2834101382488479,0.12897628687102328,0.38759689922480633,0.12921348314606743,0.43478260869565216,0.0,1.0,1,6,2
10,0.3553719008264462,0.12666666666666668,0.2469879518072289,0.01303680981595092,0.0398671096345515,0.034722222222222224,0.1313364055299539,0.0711393869288601,0.20930232558139542,0.19101123595505623,0.5797101449275363,0.0,1.0,0,5,2
11,0.396694214876033,0.10000000000000002,0.24096385542168677,0.05521472392638037,0.043189368770764125,0.05555555555555555,0.23732718894009217,0.14632735685367246,0.32558139534883723,0.17415730337078655,0.24637681159420277,0.0,1.0,0,5,2
12,0.33884297520661155,0.06666666666666667,0.22289156626506024,0.00920245398773006,0.051495016611295685,0.052083333333333336,0.15898617511520738,0.09427414690572494,0.3565891472868218,0.2303370786516854,0.40579710144927544,0.0,1.0,0,5,2
13,0.2314049586776859,0.05333333333333334,0.24096385542168677,0.013803680981595092,0.058139534883720936,0.16319444444444445,0.315668202764977,0.07885097358781433,0.6356589147286823,0.16853932584269665,0.6376811594202899,0.0,1.0,1,7,2
14,0.37190082644628103,0.22666666666666666,0.3734939759036145,0.28604294478527603,0.051495016611295685,0.1388888888888889,0.3824884792626728,0.2523616734143039,0.2015503875968991,0.25280898876404495,0.24637681159420277,0.0,1.0,1,5,2
15,0.2314049586776859,0.060000000000000005,0.22891566265060243,0.013803680981595092,0.03820598006644518,0.09375,0.24423963133640553,0.08270676691729145,0.4108527131782945,0.18539325842696633,0.4927536231884058,0.0,1.0,1,7,2
16,0.20661157024793386,0.26666666666666666,0.024096385542168676,0.0076687116564417195,0.061461794019933555,0.10069444444444445,0.21428571428571427,0.10969732022363556,0.4031007751937986,0.07865168539325841,0.23188405797101444,0.0,1.0,0,6,2
17,0.19834710743801653,0.3866666666666667,0.2891566265060241,0.00920245398773006,0.03322259136212624,0.09722222222222222,0.15898617511520738,0.04029304029303887,0.47286821705426363,0.0955056179775281,0.6956521739130436,0.0,1.0,0,8,3
18,0.2975206611570248,0.17333333333333334,0.25301204819277107,0.0076687116564417195,0.0398671096345515,0.05555555555555555,0.38018433179723504,0.08849045691150927,0.310077519379845,0.17415730337078655,0.47826086956521746,0.0,1.0,1,6,2
